,Pós-venda/Cancelado/Devolvido,Nº de Pedido da Plataforma,Custo Médio,SKU,SKU (Armazém)
1769,Ocorreu,582637435021460503,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1770,Ocorreu,582637435021460503,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1771,Ocorreu,582637435021460503,10.0,ME-10-Cachorro-Bulldog-35-40,ME-10-Cachorro-Bulldog-35-40
1772,Ocorreu,582637474625128047,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1773,Ocorreu,582637440416974357,6.2481,MASG-MC-Preto-40-46,MASG-MC-Preto-40-46
1774,Cancelado,582637435418085104,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1775,Ocorreu,582637475909568078,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1776,Ocorreu,582637454621312430,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1777,Ocorreu,582637454621312430,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1778,Ocorreu,582637454621312430,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1779,Ocorreu,582637454621312430,10.0,ME-10-Corrida-35-40,ME-10-Corrida-35-40
